review,source,n,sentiment
"""Offers that rare combination of entertainment and education.""",Stanford,8,positive
"""Take Care of My Cat offers a refreshingly different slice of Asian cinema.""",Stanford,13,positive
"""This is a film well worth seeing, talking and singing heads and all.""",Stanford,13,positive
"""What really surprises about Wisegirls is its low-key quality and genuine tenderness.""",Stanford,12,positive
"""One of the greatest family-oriented, fantasy-adventure movies ever.""",Stanford,8,positive
"""Ultimately, it ponders the reasons we need stories so much.""",Stanford,10,positive
"""The movie 's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries.""",Stanford,14,positive
"""Offers a breath of the fresh air of true sophistication.""",Stanford,10,positive
"""Brilliant and moving performances by Tom Courtenay and Peter Finch.""",IMDB,10,positive
"""This is a great movie. Too bad it is not available on home video.""",IMDB,14,positive
"""This movie is terrible but it has some good effects.""",IMDB,10,negative
"""What a script, what a story, what a mess!""",IMDB,9,negative
"""Comment this movie is impossible. Is terrible, very improbable, bad interpretation e direction. Not look!!!!!""",IMDB,15,negative
"""Adrian Pasdar is excellent is this film. He makes a fascinating woman.""",IMDB,12,positive
"""Ming The Merciless does a little Bardwork and a movie most foul!""",IMDB,12,negative
"""You'd better choose Paul Verhoeven's even if you have watched it.""",IMDB,11,negative
"""I hope this group of film-makers never re-unites.""",IMDB,8,negative
"""More suspenseful, more subtle, much, much more disturbing....""",IMDB,8,negative
"""I wouldn't rent this one even on dollar rental night.""",IMDB,10,negative
"""Long, boring, blasphemous. Never have I been so glad to see ending credits roll.""",IMDB,14,negative
"""This is a good film. This is very funny. Yet after this film there were no good Ernest films!""",IMDB,19,positive
"""The acrobatics mixed with haunting music, make one spectacular show. The costumes are vibrant and the performances will just boggle your mind! Simply amazing!""",IMDB,24,positive
"""A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. A must see.""",IMDB,24,positive
"""Great cast, great acting, great music. Each character in this movie had their own stories and personalities and it's vivid. A great movie not to be missed.""",IMDB,27,positive
"""One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear! Rather risqué for 1931!""",IMDB,29,positive
"""I smiled through the whole film. The music is great. The story-telling is great. It's a wonderful film. This picture is made with respect and a true love of the sixties.""",IMDB,31,positive
"""Cool idea... botched writing, botched directing, botched editing, botched acting. Sorta makes me wish I could play God and strike everyone involved in making this film with several bolts of lightning.""",IMDB,31,negative
"""Just love the interplay between two great characters of stage & screen - Veidt & Barrymore""",IMDB,16,positive
"""Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.""",IMDB,22,positive
"""I really enjoyed this movie... In My DVD collection of baseball movies... Reminded me how great the sport truly is... Whether it's here in America or Japan.""",IMDB,27,positive
"""At least the jingle by Tim Finn was melodic. Roberts is the his usual inept self. Characters are inconsistent, dull, purposeless. Roberts changes his accent even within one line.""",IMDB,29,negative
"""Well, this movie actually did have one redeeming quality. It made up the funniest season one episode of MST3K. I wish Rhino had released this one instead of ""The Crawling Hand.""""",IMDB,31,negative
"""Brilliant kung-fu scenes, loads of melodrama, peculiar footwear symbolism and an unhappy (?) end makes Barefoot Kid an unforgettable film.<br /><br />One of the silliest subtitles I've seen...""",IMDB,28,positive
"""Great movie - especially the music - Etta James - ""At Last"". This speaks volumes when you have finally found that special someone.""",IMDB,23,negative
"""Boring, badly written Italian exploitation flick.Lots of nudity, gore and awful acting.The werewolf makeup was the only thing that would raise a laugh.Complete rubbish-even for fans of cheesy Italian horror.Please avoid.""",IMDB,31,negative
"""The only remarkable fact is the participation of Klaus Kinski who plays a priest. Don't ask me why he does it! A bad, bad movie overall.<br /><br />""",IMDB,28,negative
"""I was overtaken by the emotion. Unforgettable rendering of a wartime story which is unknown to most people. The performances were faultless and outstanding.""",IMDB,24,positive
"""I can't believe they got the actors and actresses of that caliber to do this movie. That's all I've got to say - the movie speaks for itself!!""",IMDB,28,negative
"""The Fiendish Plot of Dr. Fu Manchu (1980). This is hands down the worst film I've ever seen. What a sad way for a great comedian to go out.""",IMDB,29,negative
"""A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.""",IMDB,20,positive
"""Deep SH.. is more like it! The eels are just cartooned in over the film. Think ""The Incredible Mr. Limpet"" meets ""Leviathan"". Very tacky.<br /><br />No character or relationship development. So called ""romantic"" scenes very corny and predictable. An interesting idea, but a poorly written script and LOUSY special effects make this a definite must-miss!""",IMDB,55,negative
"""I hate this movie. It is a horrid movie. Sean Young's character is completely unsympathetic. Her performance is wooden at best. The storyline is completely predictable, and completely uninteresting. I would never recommend this film to anyone. It is one of the worst movies I have ever had the misfortune to see.""",IMDB,52,negative
"""If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10. But the music actually makes me like certain passages, and so I give it 5/10.""",IMDB,32,negative
"""If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!""",IMDB,33,positive
"""The odd mixture of comedy and horror sometimes works and sometimes doesn't. Had the main male character been a little more interesting, the film would have been as well. A trio of young Americans visit Paris, run into a beautiful werewolf, and the problems confound from there.<br /><br />Numerous logic holes make the possibly intriguing story difficult to take.""",IMDB,59,negative
"""I bought this DVD after seeing it highly ranked here. It's just a short 20 minutes zombie film. Nothing special about it except for the music perhaps.<br /><br />Don't buy it! Not even really worth spending 20 minutes to see it. Only if you're really bored...""",IMDB,46,negative
"""A strange role for Eddie Murphy to take at the height of his career. While there is a lot of the ""Eddie Murphy character,"" he plays a truly decent person. The rest of the cast is good, particularly the lovely Charlotte Lewis. Her character's beauty and serenity held the tone of the film from getting to be too much Murphy.""",IMDB,60,positive
"""This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack (The man of constant sorrow). I recommand this movie to everybody. Greetings Bart""",IMDB,50,positive
"""Really bad Italian horror movie, a sort of remake of Hammer infamous Frankenstein must be destroyed, this time with a lady Frankenstein taking over the business from father. A few nudes, several botched bits of dialogue, no tension at all. forgettable""",IMDB,41,negative
"""This may be one of the best movies I have ever seen. It has anything but a trite plot, and leaves one wondering which way it will go next. It is an interesting portrayal of the struggles of youth, youth who are interested in more than immediate gratification, youth who show some concern about the desires and needs of others.""",IMDB,60,positive
"""I went to see this film based on the review by Siskel and Ebert; not only did I get duped, but I took some friends along, and had to spend the rest of the day profusely apologizing for making them sit through this pointless crap. After this, I never went to see a movie based solely on Siskel & Ebert's advice.""",IMDB,61,negative
"""This is the best thing Burt Reynolds ever did . . . . nice combination of suspense and humor, with an excellent supporting cast, this is a very well written and credible urban drama with a great sound track as well . . . makes you wonder why Reynolds doesn't direct more movies . . .""",IMDB,56,positive
"""We also found this movie on the discount rack and made the mistake of purchasing it because Sandra Bullock was featured on the cover. The cinematography was terrible and the back of the DVD box told more about the plot than the movie itself. Oh and I love the Uzi cam....NOT.<br /><br />""",IMDB,53,negative
"""I think that this was one of the most trite films ever made. No redeeming features at all. Even my 12-year-old son said it was laughable. May be a good candidate for the next generation of ""Mystery Science Theatre.""""",IMDB,39,negative
"""Shallow, shallow script ...stilted acting ...the shadows of boom mikes lingering over the actors' heads in scenes ...worth watching because Kate Mulgrew plays the most selfish mother in TV movie history and it's all before Ben Affleck got his teeth capped.""",IMDB,41,negative
"""Possibly John Cassavetes best film to date, and definitely his funniest. Seymour Cassel plays the young Moskowitz smitten with real-life wife of Cassavetes, Gena Rowlands, excellent as usual. A must see gem of a film, if you can locate it.""",IMDB,40,positive
"""Great movie in a Trainspotting style... Being billed as the Welsh Trainspotting, but then so was Twin Town, although this is streets ahead.<br /><br />Takes in a weekend in the life of Cardiff Clubbers, good debut movie from Kerrigan and some great performances in the cast.<br /><br />Go see ! then go clubbing""",IMDB,53,positive
"""To anyone who likes the TV series: forget the movie. The jokes are bad and some topics are much too sensitive to laugh about it.<br /><br />We have seen much better acting by R. Dueringer in ""Hinterholz 8"".""",IMDB,38,negative
"""Excellent film. I cried when she cried, I loved when they loved , I was frustrated when they were. This film touched my heart. It was a reality check for me since this is reality for me, a 19 year old soldier""",IMDB,42,positive
"""This film tries very hard to be an ""action"" film, but it fails miserably.<br /><br />Steve Guttenberg plays the head of an elite counter-terrorist team that fails (?) in attempt to keep a mysterious group from stealing a deadly nerve agent.<br /><br />The story...the acting...the special effects...ALL FALL FLAT!!!<br /><br />Definitely A MUST AVOID!!!!""",IMDB,54,negative
"""Set in a post apocalyptic future, the new highlander is an effeminate little twerp named Quentin MacLeod, who is being mentored by a new Ramirez while his little sister tags along on their quest to thwart an evil immortal overlord. To do so, Quentin must absorb all the knowledge of other immortals before this overlord, Korton, does.<br /><br />In short, this is pure crap, much like the Highlander sequels. Quentin is a fairly stupid character, constantly whining and moaning and bitching in a ""woe is me for I am a reluctant hero"" kind of way, and he never catches on to the fact that he's an immortal and can't be killed, at least not easily. Ramirez would have done better to ditch him and thwart Korton himself.""",IMDB,127,negative
"""Black and White film. Good photography. Believable characters. <br /><br />Just awful.<br /><br />I have wasted another perfect evening watching a film that other rated as ""worthy"" and ""very good."" There is some good acting here and the back ground setting for the plot is good (more should have been done with this) but it is very slow to grow and never develops. It is totally bases on sex without much romance with much un needed nudity. More could have been done with the main characters. If you are looking for something to watch with you family this in not the movie and if not you will have trouble sitting through it. Though this film is long its only about 1 inch deep!""",IMDB,123,negative
"""This movie starts off as a college T'n'A flick, but turns pretty ugly after the main character's sister is gang raped by a biker gang driving a van. It has a pretty good pace, and James Van Patten does a pretty good job in this Cannon tax write-off movie. This was the first movie I ever saw at the Parkway Drive-in, here in Toronto. The main feature was ""Alphabet City"", and ""Young Warriors was the added feature. Out of the 2 movies, ""Young Warriors"" was by far more entertaining and memorable. If you are a fan of blow 'em up, excessively violent movies, this one would make a great addition to any collection.""",IMDB,113,positive
"""Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.""",IMDB,119,positive
"""I saw this movie thinking that it would be one of those old B movies that are fun to watch. I was so wrong! This movie was boring and obviously aimed at males who like looking at corpulent women. The story was so ridiculous and implausible that it lost my interest altogether. It seemed to be in the same genre as the Ed Wood films - bottom of the barrel.""",IMDB,70,negative
"""Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.<br /><br />At first it was very odd and pretty funny but as the movie progressed I didn't find the jokes or oddness funny anymore.<br /><br />Its a low budget film (thats never a problem in itself), there were some pretty interesting characters, but eventually I just lost interest.<br /><br />I imagine this film would appeal to a stoner who is currently partaking.<br /><br />For something similar but better try ""Brother from another planet""""",IMDB,96,negative
"""This centers on unironic notions of coming to grips with guilt. <br /><br />Merrill berates the distraught boy to stop his 'whining' about Rennie's death. Old-style real men in action, here.<br /><br />The crashing model plane and car crash must have been impressive on the big screen.<br /><br />The storytelling itself, despite the flashback sequences, plays it straight -- all the narrators are trusted by us (regardless of the 'truth' or 'untruth' of the dialogue), so there's no game with the viewer about narrative structure. This would become a rough template for future retellings, such as ""Fearless"".<br /><br />So all we're left with is individual performance, and at that level, it's best for Wynn's bantering, a virtual one-man show.""",IMDB,119,negative
